A,B,E,F,M,P,CMT,id,notes
0.0,0.0,0.0,0.0,12.6,0.0,9.857142857142858,1,
7.111111111111111,7.260869565217392,7.2727272727272725,5.0,12.6,7.416666666666667,9.857142857142858,2,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,beam
7.111111111111111,7.173913043478261,7.2727272727272725,5.0,12.6,7.375,9.714285714285714,5,
7.148148148148148,7.260869565217392,7.2727272727272725,5.0,12.6,7.416666666666667,9.714285714285714,6,
7.148148148148148,7.260869565217392,7.363636363636363,5.0,12.6,7.375,9.857142857142858,7,
7.111111111111111,7.260869565217392,7.2727272727272725,5.333333333333333,12.6,7.416666666666667,9.857142857142858,8,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,beam
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,beam
7.111111111111111,7.260869565217392,7.2727272727272725,5.0,12.6,7.416666666666667,9.857142857142858,11,
7.111111111111111,7.173913043478261,7.2727272727272725,5.0,12.6,7.333333333333333,9.714285714285714,12,
7.148148148148148,7.260869565217392,7.363636363636363,5.0,12.6,7.458333333333333,9.714285714285714,13,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,beam
7.111111111111111,7.173913043478261,7.2727272727272725,5.0,12.6,7.375,9.714285714285714,15,
7.148148148148148,7.304347826086956,7.363636363636363,5.0,12.6,7.416666666666667,9.857142857142858,17,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,beam
7.148148148148148,7.260869565217392,7.454545454545454,5.0,12.6,7.458333333333333,9.857142857142858,18,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,beam
7.148148148148148,7.260869565217392,7.2727272727272725,5.0,12.6,7.416666666666667,9.714285714285714,21,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,greedy
