random_random-100-90-100-42,random_random-100-50-100-42,random_random-100-30-100-42,random_random-50-90-100-42,random_random-50-50-100-42,random_random-50-30-100-42,random_random-20-90-100-42,random_random-20-50-100-42,random_random-20-30-100-42,random_random-10-90-100-42,random_random-10-50-100-42,random_random-10-30-100-42,random_outer-100-90-100-42,random_outer-100-50-100-42,random_outer-100-30-100-42,random_outer-50-90-100-42,random_outer-50-50-100-42,random_outer-50-30-100-42,random_outer-20-90-100-42,random_outer-20-50-100-42,random_outer-20-30-100-42,random_outer-10-90-100-42,random_outer-10-50-100-42,random_outer-10-30-100-42,random_centre-100-90-100-42,random_centre-100-50-100-42,random_centre-100-30-100-42,random_centre-50-90-100-42,random_centre-50-50-100-42,random_centre-50-30-100-42,random_centre-20-90-100-42,random_centre-20-50-100-42,random_centre-20-30-100-42,random_centre-10-90-100-42,random_centre-10-50-100-42,random_centre-10-30-100-42,cluster_random-100-90-100-42,cluster_random-100-50-100-42,cluster_random-100-30-100-42,cluster_random-50-90-100-42,cluster_random-50-50-100-42,cluster_random-50-30-100-42,cluster_random-20-90-100-42,cluster_random-20-50-100-42,cluster_random-20-30-100-42,cluster_random-10-90-100-42,cluster_random-10-50-100-42,cluster_random-10-30-100-42,cluster_outer-100-90-100-42,cluster_outer-100-50-100-42,cluster_outer-100-30-100-42,cluster_outer-50-90-100-42,cluster_outer-50-50-100-42,cluster_outer-50-30-100-42,cluster_outer-20-90-100-42,cluster_outer-20-50-100-42,cluster_outer-20-30-100-42,cluster_outer-10-90-100-42,cluster_outer-10-50-100-42,cluster_outer-10-30-100-42,cluster_centre-100-90-100-42,cluster_centre-100-50-100-42,cluster_centre-100-30-100-42,cluster_centre-50-90-100-42,cluster_centre-50-50-100-42,cluster_centre-50-30-100-42,cluster_centre-20-90-100-42,cluster_centre-20-50-100-42,cluster_centre-20-30-100-42,cluster_centre-10-90-100-42,cluster_centre-10-50-100-42,cluster_centre-10-30-100-42,id,notes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,2.05,1,
50.72,26.94,16.12,26.34,13.94,8.37,11.05,5.94,3.67,5.7,3.21,2.05,50.3,26.82,16.08,26.13,13.79,8.37,11.02,5.99,3.63,5.81,3.14,2.05,51.32,27.2,16.18,26.52,14.02,8.37,11.14,5.97,3.67,5.73,3.22,2.05,50.22,26.85,16.21,25.36,13.66,8.34,10.74,5.94,3.67,5.66,3.22,2.04,50.04,26.77,16.25,25.48,13.73,8.33,11.02,5.82,3.64,5.63,3.11,2.05,50.47,26.97,16.24,25.52,13.75,8.34,10.79,5.97,3.68,5.7,3.2,2.05,2,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,beam
50.76,26.76,16.05,26.2,13.84,8.32,11.02,5.92,3.65,5.69,3.17,2.05,50.52,26.7,15.96,26.14,13.73,8.33,11.02,5.98,3.62,5.81,3.14,2.05,50.92,26.85,16.03,26.36,13.92,8.32,11.13,5.98,3.65,5.72,3.19,2.06,50.27,26.7,16.11,25.4,13.58,8.34,10.72,5.92,3.68,5.67,3.22,2.05,50.31,26.71,16.2,25.55,13.66,8.28,11.04,5.81,3.63,5.64,3.1,2.05,50.45,26.81,16.13,25.6,13.65,8.33,10.81,5.97,3.68,5.67,3.2,2.05,5,
51.64,27.06,16.11,26.65,14.01,8.36,11.15,5.94,3.66,5.78,3.21,2.05,51.49,26.92,16.1,26.49,13.82,8.38,11.23,6.02,3.63,5.82,3.16,2.07,51.68,27.1,16.15,26.6,14.02,8.41,11.12,5.96,3.68,5.76,3.2,2.07,51.09,26.99,16.18,25.81,13.69,8.33,10.83,5.93,3.69,5.66,3.22,2.03,51.16,27.07,16.29,25.87,13.79,8.33,11.06,5.85,3.64,5.7,3.1,2.06,51.32,27.04,16.2,25.9,13.76,8.35,10.85,6.0,3.69,5.73,3.25,2.04,6,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,greedy
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,beam
