RC1_25,RC2_25,R1_25,R2_25,C1_25,C2_25,RC1_50,RC2_50,R1_50,R2_50,C1_50,C2_50,RC1_100,RC2_100,R1_100,R2_100,C1_100,C2_100,id,notes
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,
4.875,17.0,8.25,21.545454545454547,24.444444444444443,23.25,8.625,28.625,13.75,39.90909090909091,49.0,43.75,19.625,64.375,22.666666666666668,84.45454545454545,91.11111111111111,85.625,46,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,
4.5,9.25,6.583333333333333,15.090909090909092,18.666666666666668,24.875,8.125,17.125,10.25,26.818181818181817,37.888888888888886,50.0,15.875,50.125,17.083333333333332,57.27272727272727,74.66666666666667,100.0,49,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,
5.125,4.625,6.0,3.727272727272727,9.444444444444445,12.375,8.375,7.0,9.833333333333334,6.818181818181818,17.444444444444443,25.0,16.0,14.75,16.25,16.181818181818183,37.22222222222222,49.375,65,
5.125,4.625,6.0,3.727272727272727,9.444444444444445,12.375,8.375,7.0,9.833333333333334,6.818181818181818,17.444444444444443,25.0,16.0,14.75,16.25,16.181818181818183,37.22222222222222,49.375,66,
4.875,5.5,6.166666666666667,6.2727272727272725,10.11111111111111,11.5,9.25,10.0,0.0,10.909090909090908,17.666666666666668,17.25,0.0,20.125,18.166666666666668,19.636363636363637,38.55555555555556,34.875,89,
25.0,23.5,25.0,25.0,24.555555555555557,25.0,50.0,42.875,50.0,48.72727272727273,48.666666666666664,50.0,100.0,86.5,100.0,88.36363636363636,99.11111111111111,100.0,67,
4.5,9.75,5.833333333333333,14.636363636363637,19.11111111111111,17.25,8.25,20.375,9.25,25.181818181818183,34.55555555555556,32.25,15.625,41.75,15.583333333333334,51.0,65.0,73.125,75,
5.125,9.75,6.5,14.818181818181818,12.777777777777779,17.0,9.375,8.875,10.416666666666666,26.181818181818183,26.11111111111111,35.5,18.75,15.125,18.25,45.72727272727273,42.888888888888886,62.5,83,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,
