id,RC1_25,RC2_25,R1_25,R2_25,C1_25,C2_25,RC1_50,RC2_50,R1_50,R2_50,C1_50,C2_50,RC1_100,RC2_100,R1_100,R2_100,C1_100,C2_100,notes
0,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
27,8,3,10,3,3,0,8,1,12.0,2,3,0,7,3.0,12,2,1,0,
29,8,6,12,10,9,2,8,2,12.0,4,7,2,8,5.0,12,8,9,4,
30,0,0,4,0,0,0,0,0,1.0,1,0,0,0,0.0,0,0,0,0,
31,8,3,12,6,0,0,8,3,12.0,6,0,0,8,0.0,8,2,0,0,
32,8,3,12,6,0,0,8,3,12.0,6,0,0,8,0.0,8,2,0,0,
33,8,6,12,10,9,2,8,2,12.0,4,7,2,8,5.0,12,8,9,4,
37,8,3,12,6,0,0,8,3,12.0,6,0,0,8,0.0,8,2,0,0,
48,8,3,12,6,0,0,8,3,12.0,6,0,0,8,0.0,8,2,0,0,
46,7,5,12,10,9,8,8,6,12.0,11,9,8,8,8.0,12,11,9,8,
49,7,5,12,10,9,8,8,6,12.0,11,9,8,8,8.0,12,11,9,8,
54,8,8,12,11,9,1,8,8,12.0,11,6,0,8,8.0,12,11,9,2,
65,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
66,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
89,8,8,12,11,9,8,8,8,10.0,11,9,8,7,8.0,12,11,9,8,
67,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
75,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
83,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
109,8,8,12,11,9,1,8,8,12.0,11,6,0,8,8.0,12,11,9,2,
110,8,8,12,11,9,1,8,8,12.0,11,6,0,8,8.0,12,11,9,2,
108,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
112,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
116,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
117,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
118,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
123,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
124,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
127,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
129,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
135,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
136,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
137,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,
142,5,6,10,10,8,8,4,7,9.0,8,9,8,5,8.0,6,10,9,8,
143,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
144,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
145,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
146,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
147,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
148,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
149,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
150,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
151,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
155,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
157,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
158,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
163,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
164,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
165,8,8,12,11,9,8,8,8,12.0,11,9,8,8,8.0,12,11,9,8,
