id,date,time,seed,problem,task,training,method,testing,device,init_method,improve_method,customers,decode
1,2024-04-30,1035.35746955872,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,savings,,,
2,2024-05-03,1595.1041457653,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,cheapest_arc,,,
4,2024-05-06,19295.6432352066,1,CVRP,small_high,,nazari,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,,,,
5,2024-05-06,1569.73507356644,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,christofides,,,
6,2024-05-06,1800.33872032166,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,local_cheapest_insert,,,
7,2024-05-08,6427.4002020359,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT']",0.0,cheapest_arc,guided_local,,
8,2024-05-08,6428.06777048111,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT']",0.0,cheapest_arc,sa,,
9,2024-05-08,20834.4913153648,1,CVRP,small_medium,,nazari,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,,,,
10,2024-05-10,19265.0399651527,1,CVRP,small_high,,nazari,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,,,,
11,2024-05-10,6424.46214413643,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT']",0.0,cheapest_arc,tabu,,
12,2024-05-10,6426.72923660278,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT']",0.0,christofides,tabu,,
13,2024-05-10,6424.55575847626,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT']",0.0,christofides,guided_local,,
14,2024-05-11,24833.907835722,1,CVRP,med_high,,nazari,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,,,,
15,2024-05-13,6425.20864605904,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT']",0.0,christofides,sa,,
17,2024-05-13,6426.12964987755,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT']",0.0,local_cheapest_insert,guided_local,,
16,2024-05-13,25914.4196908474,1,CVRP,med_medium,,nazari,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,,,,
18,2024-05-13,6423.0458612442,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT']",0.0,local_cheapest_insert,sa,,
19,2024-05-14,23892.9795937538,1,CVRP,med_low,,nazari,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,,,,
21,2024-05-14,6423.94816231728,1,CVRP,,,ortools,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT']",0.0,local_cheapest_insert,tabu,,
22,2024-05-15,42887.1768484116,1,CVRP,high_low,,nazari,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,,,,
23,2024-05-19,41244.7101004124,1,CVRP,high_medium,,nazari,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,,,,
24,2024-05-25,40523.6273801327,1,CVRP,high_high,,nazari,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,,,,
27,2024-05-29,27.5058772563934,1,CVRPTW,,old,ortools,"['25', '50', '100']",0.0,savings,,,
29,2024-05-29,2573.72916388512,1,CVRPTW,,old,ortools,"['25', '50', '100']",0.0,cheapest_arc,,,
30,2024-05-29,4.914799451828,1,CVRPTW,,old,ortools,"['25', '50', '100']",0.0,christofides,,,
31,2024-05-29,73.3825154304504,1,CVRPTW,,old,ortools,"['25', '50', '100']",0.0,local_cheapest_insert,,,
32,2024-05-29,73.5039629936218,1,CVRPTW,,old,ortools,"['25', '50', '100']",0.0,local_cheapest_insert,sa,,
33,2024-05-29,2622.61298775673,1,CVRPTW,,old,ortools,"['25', '50', '100']",0.0,cheapest_arc,sa,,
34,2024-05-29,35291.4395415783,1,CVRP,,old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,am,,10.0,
36,2024-06-03,39833.2113745213,1,CVRP,,old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,amppo,,10.0,
37,2024-06-04,75.6186261177063,1,CVRPTW,,old,ortools,"['25', '50', '100']",0.0,local_cheapest_insert,tabu,,
39,2024-06-08,18429.2225871086,1,CVRP,small_low,,nazari,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,,,,
40,2024-06-11,18311.3151698113,1,CVRP,vrp10,,nazari,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,,,,
42,2024-06-12,38108.5451898575,1,CVRP,,old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,symnco,,10.0,
43,2024-06-14,37982.2972157002,1,CVRP,,Old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,symnco,,10.0,
46,2024-06-18,14460.7422597408,1,CVRPTW,,,rl4co,"['25', '50', '100']",0.0,am,,10.0,
48,2024-06-19,73.2505526542664,1,CVRPTW,,old,ortools,"['25', '50', '100']",0.0,local_cheapest_insert,sa,,
47,2024-06-19,34931.1149029732,1,CVRP,,old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,am,,25.0,
50,2024-06-20,38515.3663384914,1,CVRP,,old,rl4co,"['A', 'B', 'E', 'F', 'M', 'P', 'CMT', 'generate']",0.0,symnco,,50.0,
